thread_id,text,has_modification,modifications,gold_has_modification,gold_modifications,annotator,annotation_notes
UgznFQYRiU_HI-5P-KN4AaABAg,"כפרה מה עם להשרות את הכוסברה?? כי אנחנו יהודים! גם לא גידול גוש קטיף (שגם אותו צריך להשרות) וגם לא משרה??.. נשמה, צר לי לומר אבל דם בביצה עם כל הכבוד זה לא פחות חמור. כמות החרקים שיש בירק אתה לא חולם אפילו! סה""כ 3 דק' במים וסבון כלים/מלח (לירק בגידול גוש קטיף/מהדרין) ואתה שקט",True,"[{""span"": ""להשרות את הכוסברה"", ""aspect"": ""TECHNIQUE"", ""confidence"": 0.9}, {""span"": ""3 דק' במים וסבון כלים/מלח"", ""aspect"": ""TECHNIQUE"", ""confidence"": 0.9}]",,,,
UgzWj8__LI_i1QqnmTZ4AaABAg,אהבתי את השילוש הקדוש😂😂😂,False,[],,,,
Ugw64yq7tvhDwt3gF0Z4AaABAg,נהדר תודה רבה,False,[],,,,
UgxizXE-xdP8CT9IR3h4AaABAg,תוסיף ברכה לפני האכילה רק יוסיף לך ברכה,False,[],,,,
UgzBlOqRkyqmIrjtEFR4AaABAg,איפה המתכון????מה אכפת לנו הברגה מריחה וגלגול הבצק.....,False,[],,,,
UgzSrH3Il8pjGVxvYAV4AaABAg,"אישה נפלאה- המתכונים שלך מה❤
ומצליחים כל כך - מסבירה מדוייק- יישר כחך",False,[],,,,
UgzFLG35wQiVTnt4NX94AaABAg,תותחית על בלי עין הרע,False,[],,,,
UgwVn1OAgiUgkyjOnsJ4AaABAg,מזל שהפסיקו לשדר את הפרסומת המגעילה של סאנו,False,[],,,,
UgzmatsWEktVt3O8NyN4AaABAg,ניראה ממש טוב מתאים לפורים,False,[],,,,
UgxXzK1CNTuR63PBeep4AaABAg,מתכון בבקשה של בצל,False,[],,,,
UgwPBS40Wp72FKBhaNl4AaABAg,100 אחוז נותן טעם לוואי😢,True,"[{""span"": ""100 אחוז נותן טעם לוואי"", ""aspect"": ""SUBSTITUTION"", ""confidence"": 0.6}]",,,,
UgwoECurLsuwaBuFssB4AaABAg,תודה. נשמע מעולה. איך מנקים אחר כך את הנינג'ה?,False,[],,,,
UgzCMOpZcTagxNx6Z5Z4AaABAg,"חסר המרשם
כמויןת",False,[],,,,
Ugw_FYIPtU0aYxEOoDh4AaABAg,"מושלם! בריא, מגרה ומאד טעים!
הברכה לפני הטעימה חסרה לי מאד. יהודים על רמה, כמוכם, מתאים לכם לברך לפני האכילה. 
אף פעם לא מאוחר!!!",False,[],,,,
Ugx84Ky0KBPQgrDZvxJ4AaABAg,"טוני היקרה❤
רפואה שלמה🙏🙏🙏🙏
ואיזו אלופה,שתזכי למצוות❤❤❤",False,[],,,,
UgzafL25ttgoORYuJ9p4AaABAg,"מכינה בלי הטטרם ויוצא מעולה חח 
אבל תודה על המידע",True,"[{""span"": ""מכינה בלי הטטרם"", ""aspect"": ""SUBSTITUTION"", ""confidence"": 0.9}]",,,,
UgykJjQmF_7e2HbZlGl4AaABAg,מימון אתה חייב לענות לי חחחחח,False,[],,,,
UgyB78cX5e8cGAemp1V4AaABAg,נראה ממש טעים,False,[],,,,
UgxIxfGQRDxp4TNvB2d4AaABAg,אי אפשר מיקרופון יותר זעיר???,False,[],,,,
UgwNjrzqhjvQaNPAs4B4AaABAg,"היי סיוון, תודה רבה על כל המתכונים המעולים והמושקעים. רציתי לשאול האם לדעתך ניתן לאפות את הסיגרים במקום לטגן, כדי לחסוך בקלוריות. תודה.",False,[],,,,
UgzwB_xOHtbaOnNTIkx4AaABAg,"אלופה
אין על המתכונים שלך❤",False,[],,,,
Ugz1k6PnjKXmTc9_wth4AaABAg,"אני עף על מנות כאלו, שאפשר להכין הכל שעות מראש ולחמם ולהרכיב לפני ההגשה. שלמות! תודה 🙏",False,[],,,,
UgwZjTpLcyO-WpKeYgV4AaABAg,בתנור באיזה מצב מכינים,False,[],,,,
UgxMGFzn38dQfNJd05p4AaABAg,שירן מקסימה מהממת עלי והצליחי בדרך היהדות נהיית עוד יותר יפה מתנה בהמתנה  תזכי לגבר מדהים ❤❤❤❤,False,[],,,,
UgxpJtfWS8ihKD8JNU14AaABAg,אמא שלי הכינה את זה החשב,False,[],,,,
UgydBXCDv3DWBgSkn2N4AaABAg,מושלם תודה רבה ❤❤❤,False,[],,,,
UgxTY5V3dkz6ZySbLyB4AaABAg,איפה קונים קטנים?,False,[],,,,
UgzmOKBpeJAoc-TAfFd4AaABAg,נראה טעים חן פשוט וגאוני ❤,False,[],,,,
UgybUK9ldqP2kSq8IXN4AaABAg,כל הכבוד.    זה. האורגינלי       אהבתי.    והתרשמתי.        זה בטוח. שהמשפחה.  נהנים. המכשולים שלך,False,[],,,,
UgxL1ASTXL3ot3F6bs94AaABAg,אתה ענקקק אחי הפיצה שלך מספר 1!!,False,[],,,,
Ugy2RIX2Rcbsgfpgk2F4AaABAg,היי חגית אם אני רוצה למלות בפרג אך אני מכינה את המילוי ? תודה 🤗,False,[],,,,
UgzZCS4cw07OhTPlxlF4AaABAg,למה נקניקיות אבל????!!!!! למה לא בשר אמיתי,False,[],,,,
Ugx-4kP5lGn97fPbUcR4AaABAg,אהבתי את המאמאמיה😂😂😂😂 סירטון חזק ביותר❤,False,[],,,,
UgwTZi4O1DDkt_g1a214AaABAg,ואוו איזה יופי לחמניות כוסמין איזה רכות משהו אין אין כזאת אליפות תודה רבה על המתכון ניראה מעולה אלופה,False,[],,,,
UgyAOLESYm0rVk-lN9F4AaABAg,וואו עשיתה לי חשק איזה יופי אם המיקלט חחח,False,[],,,,
UgzMgusYf3xj0l6TeIF4AaABAg,הרגת אותי קובי הריר נוזל! יקח לי יום שלם להכין כל מה שהכנת,False,[],,,,
Ugw3MwlcyoSoGlHpj6V4AaABAg,אשמח למתכון פרווה בבקשה,False,[],,,,
UgwbjF9hviynR4ks9M14AaABAg,סליחה אבל מעבדה בבית אין😅 (היה מעניין לצפות תודה),False,[],,,,
UgymLLUt7DdONMnmi794AaABAg,"תודה רבה, נראה פשוט מושלם!",False,[],,,,
UgzmFN6lQpWbZgKaxrN4AaABAg,תשים שמן בדף אפייה  ככה לא ידבק לך . וגם תשתדל לעשות את המופלטה עגולה . .סך הכל המתכון.מוצלח. תודה ❤,True,"[{""span"": ""תשים שמן בדף אפייה"", ""aspect"": ""TECHNIQUE"", ""confidence"": 0.95}, {""span"": ""לעשות את המופלטה עגולה"", ""aspect"": ""TECHNIQUE"", ""confidence"": 0.95}]",,,,
UgwM4jjyX4qlXuueFVl4AaABAg,לא בקטע רע אתם מושלמוזה לא בושה להיות לסבית,False,[],,,,
UgxOa1Lq-0dAPgyXvml4AaABAg,"טוב שיש אותך אחי , אם אפשר הייתי שמח שתבדוק את המכשיר עם הטאבון והמעשנה ביחד, לפי יוטוברים שבדקו הוא דווקא יותר טוב מהמכשיר שהוא מעשנה בלבד...אולי שריג ישלחו לך גם אותו לסיקור",False,[],,,,
UgwW9rp7P12tjBw_Tul4AaABAg,איזו אלגנטיות 😍,False,[],,,,
UgzxGXWP_1XfeQb1H5d4AaABAg,"❤🎉❤🎉
נראות מעולה
ומזמינות❤🎉",False,[],,,,
